iter	Accuracy	MultiClass
253	0.9705479452	0.1634328086
254	0.9708219178	0.1630853148
255	0.9708219178	0.1626749269
256	0.9706849315	0.1621967064
257	0.9705479452	0.161980653
258	0.9708219178	0.1615781255
259	0.9709589041	0.1613734314
260	0.9710958904	0.1609895895
261	0.9709589041	0.1605188293
262	0.9709589041	0.1600727557
263	0.9715068493	0.1594336585
264	0.9712328767	0.1587793021
265	0.9716438356	0.1583204382
266	0.9716438356	0.1578584829
267	0.9715068493	0.157496665
268	0.9710958904	0.1572134135
269	0.9716438356	0.1569322437
270	0.9716438356	0.1565921915
271	0.9719178082	0.1561375227
272	0.9720547945	0.1557124979
273	0.9723287671	0.1551052066
274	0.9723287671	0.1546388433
275	0.9724657534	0.1543806372
276	0.9723287671	0.1541276834
277	0.9732876712	0.1536136526
278	0.9731506849	0.1530157639
279	0.9731506849	0.1528051204
280	0.9734246575	0.1522109828
281	0.9734246575	0.1519825776
282	0.9735616438	0.1516538517
283	0.9735616438	0.1511012898
284	0.9735616438	0.1508177806
285	0.9735616438	0.1502880293
286	0.9736986301	0.1499640685
287	0.9738356164	0.1494999378
288	0.9736986301	0.1491346939
289	0.9735616438	0.1486870398
290	0.9731506849	0.1484984563
291	0.9732876712	0.1481156853
292	0.9734246575	0.1477688263
293	0.9735616438	0.1473219895
294	0.9736986301	0.1469603503
295	0.9738356164	0.1465868981
296	0.9742465753	0.1460906336
297	0.9745205479	0.145952918
298	0.9745205479	0.1455875726
299	0.9743835616	0.1453995355
300	0.9746575342	0.1450718386
301	0.9747945205	0.1445449691
302	0.9750684932	0.1441374531
303	0.9752054795	0.1437983539
304	0.9747945205	0.1433629402
305	0.9752054795	0.1429878892
306	0.9753424658	0.1425795745
307	0.9756164384	0.1421117953
308	0.9761643836	0.1416130267
309	0.9761643836	0.1413844386
310	0.9761643836	0.140795078
311	0.9761643836	0.1405132036
312	0.975890411	0.1401245461
313	0.9765753425	0.1397506798
314	0.9764383562	0.1393117924
315	0.9768493151	0.1389088977
316	0.9768493151	0.1385101226
317	0.9769863014	0.1382068899
318	0.9768493151	0.1377362818
319	0.9768493151	0.137465454
320	0.977260274	0.1371753612
321	0.977260274	0.1369661028
322	0.9773972603	0.1367323291
323	0.9776712329	0.1363920689
324	0.9778082192	0.1360278353
325	0.9779452055	0.1355693723
326	0.9780821918	0.1352433956
327	0.9779452055	0.1347759882
328	0.9782191781	0.1342144705
329	0.9782191781	0.133856313
330	0.978630137	0.1335981257
331	0.978630137	0.1334192068
332	0.9783561644	0.1329319341
333	0.978630137	0.1326104728
334	0.9787671233	0.1323056266
335	0.9783561644	0.131875497
336	0.9783561644	0.1316528975
337	0.9782191781	0.131356892
338	0.9784931507	0.1309164516
339	0.9787671233	0.1303506725
340	0.9784931507	0.1301900113
341	0.9783561644	0.1298440433
342	0.9787671233	0.129314521
343	0.9789041096	0.1289771751
344	0.9789041096	0.1286511033
345	0.9791780822	0.1283114694
346	0.9791780822	0.1279230105
347	0.9791780822	0.1274781807
348	0.9793150685	0.1271333724
349	0.9798630137	0.1268772528
350	0.9808219178	0.126512585
351	0.9812328767	0.1262669123
352	0.9812328767	0.1258578052
353	0.9817808219	0.1255440627
354	0.9816438356	0.1252801131
355	0.9816438356	0.1249429707
356	0.9820547945	0.124617566
357	0.9821917808	0.124398716
358	0.9821917808	0.1240205006
359	0.9824657534	0.1236670632
360	0.9823287671	0.1233977422
361	0.9824657534	0.1229814122
362	0.9824657534	0.122836566
363	0.9826027397	0.1225672672
364	0.9826027397	0.1223111105
365	0.9828767123	0.1220995025
366	0.982739726	0.1217374174
367	0.982739726	0.1215146763
368	0.9826027397	0.1212522364
369	0.9826027397	0.1208612657
370	0.9826027397	0.1206589866
371	0.9830136986	0.1203250106
372	0.9830136986	0.1201878485
373	0.9830136986	0.1200312662
374	0.9828767123	0.1198341139
375	0.982739726	0.1192875434
376	0.9830136986	0.11900345
377	0.9831506849	0.1186878315
378	0.9831506849	0.1184071824
379	0.9828767123	0.1180902018
380	0.9828767123	0.1178130162
381	0.9828767123	0.1175091828
382	0.9826027397	0.1173187298
383	0.9826027397	0.1170304331
384	0.9831506849	0.1168787636
385	0.9831506849	0.1166218593
386	0.9831506849	0.1162997568
387	0.9832876712	0.1159164539
388	0.9836986301	0.1156276286
389	0.9838356164	0.115346838
390	0.9835616438	0.1151691167
391	0.9838356164	0.1149286027
392	0.984109589	0.1148361719
393	0.984109589	0.1145428383
394	0.984109589	0.1141494329
395	0.984109589	0.1139528329
396	0.984109589	0.1137904978
397	0.9839726027	0.113657456
398	0.984109589	0.1134859866
399	0.9842465753	0.1131782238
400	0.984109589	0.1128956912
401	0.984109589	0.1126081735
402	0.9845205479	0.1124249587
403	0.9845205479	0.1123026338
404	0.9843835616	0.1121108816
405	0.9845205479	0.1119706436
406	0.9846575342	0.1116365691
407	0.9852054795	0.1112613555
408	0.9853424658	0.1110556083
409	0.9850684932	0.1107892963
410	0.9850684932	0.1104381521
411	0.9849315068	0.1102165633
412	0.9853424658	0.1098618955
413	0.9854794521	0.1094907481
414	0.9856164384	0.1093590916
415	0.9857534247	0.1092295842
416	0.9861643836	0.1088933928
417	0.9860273973	0.1086989411
418	0.9861643836	0.1084221296
419	0.9860273973	0.1082301853
420	0.9863013699	0.107992138
421	0.9863013699	0.1076517653
422	0.9863013699	0.1073817415
423	0.9865753425	0.1071666391
424	0.9863013699	0.1068954757
425	0.9865753425	0.1067577688
426	0.9867123288	0.1065264511
427	0.9867123288	0.1064042495
428	0.9865753425	0.1059972039
429	0.9869863014	0.1057572748
430	0.987260274	0.1055456331
431	0.987260274	0.1054199876
432	0.987260274	0.105082751
433	0.9873972603	0.1048459526
434	0.9875342466	0.1047270584
435	0.9876712329	0.1046196631
436	0.9876712329	0.1044726906
437	0.9876712329	0.1041928287
